id,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
2425,14800.0,9.49,406.0,12.4,9.5
3524,15300.0,13.8,421.0,18.0,13.8
4229,15300.0,16.6,421.0,21.6,16.6
4974,10600.0,19.5,292.0,25.4,19.5
3309,15300.0,13.0,420.0,16.9,13.0
4476,15100.0,17.5,415.0,22.9,17.5
3305,15300.0,12.9,420.0,16.9,12.9
4751,14100.0,18.6,388.0,24.3,18.6
4126,15300.0,16.1,422.0,21.1,16.2
2606,14900.0,10.2,410.0,13.3,10.2
1385,12900.0,5.42,355.0,7.07,5.43
3835,15400.0,15.0,422.0,19.6,15.0
1399,13000.0,5.48,356.0,7.14,5.48
1195,12400.0,4.68,341.0,6.1,4.68
1408,13000.0,5.51,357.0,7.19,5.52
3824,15400.0,15.0,422.0,19.5,15.0
1798,13900.0,7.04,382.0,9.18,7.04
1475,13200.0,5.77,362.0,7.53,5.78
4965,11000.0,19.4,301.0,25.4,19.4
35,35.8,0.136,0.985,0.177,0.143
3541,15300.0,13.9,421.0,18.1,13.9
2345,14700.0,9.18,404.0,12.0,9.18
4678,14500.0,18.3,399.0,23.9,18.3
2359,14700.0,9.23,404.0,12.0,9.24
2206,14500.0,8.63,399.0,11.3,8.64
3767,15300.0,14.7,422.0,19.2,14.8
1286,12600.0,5.03,346.0,6.57,5.04
349,2600.0,1.37,71.4,1.78,1.37
2137,14400.0,8.36,397.0,10.9,8.37
2691,15000.0,10.5,412.0,13.7,10.5
4560,14900.0,17.8,410.0,23.3,17.9
3967,15400.0,15.5,422.0,20.3,15.5
1681,13700.0,6.58,376.0,8.58,6.59
4834,13400.0,18.9,369.0,24.7,18.9
1443,13100.0,5.65,360.0,7.37,5.65
3243,15300.0,12.7,419.0,16.6,12.7
1671,13700.0,6.54,375.0,8.53,6.55
3836,15400.0,15.0,422.0,19.6,15.0
1179,12400.0,4.61,341.0,6.02,4.62
2798,15000.0,11.0,414.0,14.3,11.0
1692,13700.0,6.62,377.0,8.64,6.63
3956,15400.0,15.5,422.0,20.2,15.5
372,2830.0,1.46,77.8,1.9,1.46
3610,15300.0,14.1,422.0,18.4,14.1
1916,14100.0,7.5,388.0,9.78,7.51
1357,12800.0,5.31,353.0,6.93,5.32
1825,14000.0,7.14,384.0,9.32,7.15
786,10300.0,3.08,283.0,4.01,3.08
469,4250.0,1.84,117.0,2.39,1.84
140,798.0,0.547,22.0,0.714,0.554
788,10300.0,3.08,284.0,4.02,3.09
323,2350.0,1.26,64.5,1.65,1.27
50,92.8,0.195,2.55,0.254,0.202
714,8830.0,2.79,243.0,3.64,2.8
4889,12700.0,19.1,349.0,25.0,19.1
2840,15100.0,11.1,414.0,14.5,11.1
2446,14800.0,9.57,406.0,12.5,9.58
4813,13600.0,18.8,375.0,24.6,18.8
4419,15200.0,17.3,417.0,22.6,17.3
4596,14800.0,18.0,407.0,23.5,18.0
3015,15200.0,11.8,417.0,15.4,11.8
2666,15000.0,10.4,411.0,13.6,10.4
406,3300.0,1.59,90.8,2.07,1.6
3724,15300.0,14.6,422.0,19.0,14.6
1004,12100.0,3.93,334.0,5.13,3.94
3787,15400.0,14.8,422.0,19.3,14.8
890,12100.0,3.48,332.0,4.54,3.49
2411,14700.0,9.44,405.0,12.3,9.44
2545,14900.0,9.96,409.0,13.0,9.97
4833,13400.0,18.9,370.0,24.7,18.9
2390,14700.0,9.35,405.0,12.2,9.36
3940,15400.0,15.4,422.0,20.1,15.4
42,53.3,0.164,1.47,0.214,0.17
2830,15100.0,11.1,414.0,14.4,11.1
3965,15400.0,15.5,422.0,20.2,15.5
